武器: アーティア,モンスター: リオレウス,部位: 頭,切れ味: 白,スキル構成: 攻撃Lv5(100%)|攻めの守勢Lv3(85%)|超会心Lv3(100%)|属性攻撃強化Lv3(100%)|匠Lv3(100%)|業物Lv1(100%)|達人芸Lv1(100%),コンボ名: 基本コンボ,攻撃力: 313.9,会心率: 5.0%,属性値: 207.0,期待値攻撃力: 319.2,物理肉質後: 191.5,属性肉質後: 31.0,物理合計: 176.2,属性合計: 155.2,コンボ秒数: 1.42,DPS: 233.43,切れ味ヒット数: 80,実効Hit: 171,コンボ回数: 42,切れ味持続: 59.6秒
武器: アーティア火(攻撃3:切れ味2),モンスター: リオレウス,部位: 頭,切れ味: 白,スキル構成: 攻めの守勢Lv3(100%)|挑戦者Lv5(100%)|連撃Lv1(100%)|巧撃Lv1(100%)|超会心Lv3(100%)|渾身Lv3(60%)|弱点特効Lv1(100%)|力の開放Lv2(100%)|無我の境地Lv3(100%)|達人芸Lv1(100%)|黒蝕竜の力（黒色一体）Lv1(100%)|ヌシの魂（根性【果敢】）Lv1(100%),コンボ名: 基本コンボ,攻撃力: 541.1,会心率: 88.0%,属性値: 276.0,期待値攻撃力: 703.0,物理肉質後: 456.9,属性肉質後: 0.0,物理合計: 512.9,属性合計: 0.0,コンボ時間: 1.70,DPS: 301.68,切れ味ヒット数: 80,実効Hit: 270,コンボ回数: 67,切れ味持続: 113.9秒
武器: アーティア火(攻撃3:切れ味2),モンスター: リオレウス,部位: 頭,切れ味: 白,スキル構成: 攻めの守勢Lv3(100%)|挑戦者Lv5(100%)|連撃Lv1(100%)|超会心Lv3(100%)|渾身Lv3(100%)|力の開放Lv5(100%)|達人芸Lv1(100%),コンボ名: 基本コンボ,攻撃力: 504.5,会心率: 100.0%,属性値: 276.0,期待値攻撃力: 676.0,物理肉質後: 439.4,属性肉質後: 0.0,物理合計: 505.3,属性合計: 0.0,コンボ時間: 1.70,DPS: 297.26,切れ味ヒット数: 80,実効Hit: 400,コンボ回数: 100,切れ味持続: 170.0秒
武器: アーティア火(攻撃3:切れ味2),モンスター: リオレウス,部位: 頭,切れ味: 白,スキル構成: 攻めの守勢Lv3(100%)|挑戦者Lv5(100%)|連撃Lv1(100%)|超会心Lv3(100%)|渾身Lv3(100%)|力の開放Lv5(60%)|達人芸Lv1(100%),コンボ名: 基本コンボ,攻撃力: 504.5,会心率: 80.0%,属性値: 276.0,期待値攻撃力: 641.7,物理肉質後: 417.1,属性肉質後: 0.0,物理合計: 460.5,属性合計: 0.0,コンボ時間: 1.70,DPS: 270.89,切れ味ヒット数: 80,実効Hit: 222,コンボ回数: 55,切れ味持続: 93.5秒
武器: アーティア火(攻撃3:切れ味2),モンスター: リオレウス,部位: 頭,切れ味: 白,スキル構成: ,コンボ名: 基本コンボ,攻撃力: 406.6,会心率: 5.0%,属性値: 207.0,期待値攻撃力: 411.6,物理肉質後: 267.6,属性肉質後: 0.0,物理合計: 249.2,属性合計: 0.0,コンボ時間: 1.70,DPS: 146.61,切れ味ヒット数: 80,実効Hit: 80,コンボ回数: 20,切れ味持続: 34.0秒
武器: アーティア火(攻撃3:切れ味2),モンスター: リオレウス,部位: 頭,切れ味: 白,スキル構成: ,コンボ名: 基本コンボ,攻撃力: 406.6,会心率: 5.0%,属性値: 207.0,期待値攻撃力: 411.6,物理肉質後: 267.6,属性肉質後: 0.0,物理合計: 249.2,属性合計: 0.0,コンボ時間: 1.70,DPS: 146.61,切れ味ヒット数: 80,実効Hit: 80,コンボ回数: 20,切れ味持続: 34.0秒
武器: アーティア火(攻撃3:切れ味2),モンスター: リオレウス,部位: 頭,切れ味: 白,スキル構成: 攻めの守勢Lv3(100%)|挑戦者Lv5(100%)|連撃Lv1(100%)|超会心Lv3(100%)|渾身Lv3(100%)|力の開放Lv5(100%)|達人芸Lv1(100%),コンボ名: 基本コンボ,攻撃力: 504.5,会心率: 100.0%,属性値: 276.0,期待値攻撃力: 676.0,物理肉質後: 439.4,属性肉質後: 0.0,物理合計: 505.3,属性合計: 0.0,コンボ時間: 1.70,DPS: 297.26,切れ味ヒット数: 80,実効Hit: 400,コンボ回数: 100,切れ味持続: 170.0秒
武器: アーティア火(攻撃3:切れ味2),モンスター: リオレウス,部位: 頭,切れ味: 白,スキル構成: 攻めの守勢Lv3(100%)|挑戦者Lv5(100%)|連撃Lv1(100%)|巧撃Lv1(100%)|超会心Lv3(100%)|渾身Lv3(100%)|弱点特効Lv1(100%)|無我の境地Lv3(100%)|達人芸Lv1(100%)|黒蝕竜の力（黒色一体）Lv2(100%),コンボ名: 基本コンボ,攻撃力: 537.5,会心率: 80.0%,属性値: 276.0,期待値攻撃力: 683.7,物理肉質後: 444.4,属性肉質後: 0.0,物理合計: 490.6,属性合計: 0.0,コンボ時間: 1.70,DPS: 288.60,切れ味ヒット数: 80,実効Hit: 222,コンボ回数: 55,切れ味持続: 93.5秒
武器: アーティア火(攻撃3:切れ味2),モンスター: リオレウス,部位: 頭,切れ味: 白,スキル構成: 攻めの守勢Lv3(100%)|挑戦者Lv5(100%)|連撃Lv1(100%)|巧撃Lv1(100%)|超会心Lv3(100%)|渾身Lv3(100%)|弱点特効Lv1(100%)|無我の境地Lv3(100%)|業物Lv3(100%)|達人芸Lv1(100%)|黒蝕竜の力（黒色一体）Lv2(100%),コンボ名: 基本コンボ,攻撃力: 537.5,会心率: 80.0%,属性値: 276.0,期待値攻撃力: 683.7,物理肉質後: 444.4,属性肉質後: 0.0,物理合計: 490.6,属性合計: 0.0,コンボ時間: 1.70,DPS: 288.60,切れ味ヒット数: 80,実効Hit: 444,コンボ回数: 111,切れ味持続: 188.7秒
武器: アーティア火(攻撃3:切れ味2),モンスター: リオレウス,部位: 頭,切れ味: 白,スキル構成: 攻めの守勢Lv3(100%)|挑戦者Lv5(100%)|連撃Lv1(100%)|巧撃Lv1(100%)|超会心Lv3(100%)|渾身Lv3(100%)|弱点特効Lv1(100%)|無我の境地Lv3(100%)|達人芸Lv1(100%)|黒蝕竜の力（黒色一体）Lv2(100%),コンボ名: 基本コンボ,攻撃力: 537.5,会心率: 80.0%,属性値: 276.0,期待値攻撃力: 683.7,物理肉質後: 444.4,属性肉質後: 0.0,物理合計: 490.6,属性合計: 0.0,コンボ時間: 1.70,DPS: 288.60,切れ味ヒット数: 80,実効Hit: 222,コンボ回数: 55,切れ味持続: 93.5秒
武器: アーティア火(攻撃3:切れ味2),モンスター: リオレウス,部位: 頭,切れ味: 白,スキル構成: ,コンボ名: 基本コンボ,攻撃力: 406.6,会心率: 5.0%,属性値: 207.0,期待値攻撃力: 411.6,物理肉質後: 267.6,属性肉質後: 0.0,物理合計: 249.2,属性合計: 0.0,コンボ時間: 1.70,DPS: 146.61,切れ味ヒット数: 80,実効Hit: 80,コンボ回数: 20,切れ味持続: 34.0秒
